COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,DISEASE,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,ACCESS_GAP_LEVEL,UC05_KEY,COUNTY_NAME
37119,North Carolina,Psychiatry,Mental Health Disorders,4706,0,0,0.0,0.0,3104.5,4291.159571,NO PROVIDER,37119|Psychiatry,Mecklenburg County
37119,North Carolina,Psychiatry,Mental Health Disorders,4846,1,602,2308.7,4846.0,3104.5,4291.159571,HIGH GAP,37119|Psychiatry,Mecklenburg County
48201,Texas,Endocrinology,Diabetes,13872,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,48201|Endocrinology,Harris County
37081,North Carolina,Cardiology,Heart Disease,298474,4,2389,10392.2,74618.5,10823.136364,15071.056217,CRITICAL GAP,37081|Cardiology,Guilford County
26049,Michigan,Pulmonary,Respiratory Disease,631,0,0,0.0,0.0,4251.578947,5741.879972,NO PROVIDER,26049|Pulmonary,Genesee County
48029,Texas,Endocrinology,Diabetes,27850,1,860,2864.0,27850.0,18070.0,22988.768287,HIGH GAP,48029|Endocrinology,Bexar County
26125,Michigan,Rheumatology,Arthritis,50823,1,757,2216.1,50823.0,10453.0,13315.598761,CRITICAL GAP,26125|Rheumatology,Oakland County
26049,Michigan,Rheumatology,Arthritis,1512,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,26049|Rheumatology,Genesee County
26099,Michigan,Rheumatology,Arthritis,86989,1,664,1671.8,86989.0,10453.0,13315.598761,CRITICAL GAP,26099|Rheumatology,Macomb County
26049,Michigan,Pulmonary,Respiratory Disease,3426,1,758,1602.5,3426.0,4251.578947,5741.879972,MODERATE GAP,26049|Pulmonary,Genesee County
37119,North Carolina,Endocrinology,Diabetes,2539,0,0,0.0,0.0,18070.0,22988.768287,NO PROVIDER,37119|Endocrinology,Mecklenburg County
26099,Michigan,Rheumatology,Arthritis,6171,0,0,0.0,0.0,10453.0,13315.598761,NO PROVIDER,26099|Rheumatology,Macomb County
26077,Michigan,Pulmonary,Respiratory Disease,36786,1,277,877.5,36786.0,4251.578947,5741.879972,CRITICAL GAP,26077|Pulmonary,Kalamazoo County
26099,Michigan,Pulmonary,Respiratory Disease,6064,1,414,1149.5,6064.0,4251.578947,5741.879972,HIGH GAP,26099|Pulmonary,Macomb County
