NPI,SERVICE_AREA_STATE,COUNTY,ISSUERID,SERVICEAREAID,SERVICE_AREA_ZIP,SPECIALTY,SERVICE_AREA_COVERAGE_PROVIDER_COUNT,MULTI_PROVIDER_AREA_FLAG,PROVIDER_COVERAGE_SHARE,SERVICE_AREA_PROVIDER_DENSITY_SCORE,SERVICE_AREA_ACCESS_LEVEL
1800000001,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000002,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000003,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000004,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000005,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000006,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000007,MI,Genesee,MI29698,MI26049-CAR,48550,Cardiology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000008,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000009,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000010,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000011,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000012,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000013,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000014,MI,Genesee,MI29698,MI26049-END,48550,Endocrinology,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000015,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000016,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000017,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000018,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000019,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000020,MI,Genesee,MI29698,MI26049-PSY,48550,Psychiatry,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000021,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000022,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000023,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000024,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000025,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000026,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000027,MI,Genesee,MI29698,MI26049-PUL,48550,Pulmonary,7,1,0.142857,4.7,CRITICAL COVERAGE
1800000028,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000029,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000030,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000031,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000032,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000033,MI,Genesee,MI29698,MI26049-RHE,48550,Rheumatology,6,1,0.166667,2.43,CRITICAL COVERAGE
1800000034,MI,Kalamazoo,MI29698,MI26077-CAR,49050,Cardiology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000035,MI,Kalamazoo,MI29698,MI26077-CAR,49050,Cardiology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000036,MI,Kalamazoo,MI29698,MI26077-CAR,49050,Cardiology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000037,MI,Kalamazoo,MI29698,MI26077-CAR,49050,Cardiology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000038,MI,Kalamazoo,MI29698,MI26077-CAR,49050,Cardiology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000039,MI,Kalamazoo,MI29698,MI26077-END,49050,Endocrinology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000040,MI,Kalamazoo,MI29698,MI26077-END,49050,Endocrinology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000041,MI,Kalamazoo,MI29698,MI26077-END,49050,Endocrinology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000042,MI,Kalamazoo,MI29698,MI26077-END,49050,Endocrinology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000043,MI,Kalamazoo,MI29698,MI26077-END,49050,Endocrinology,5,1,0.2,1.0,CRITICAL COVERAGE
1800000044,MI,Kalamazoo,MI29698,MI26077-PSY,49050,Psychiatry,4,1,0.25,0.32,CRITICAL COVERAGE
1800000045,MI,Kalamazoo,MI29698,MI26077-PSY,49050,Psychiatry,4,1,0.25,0.32,CRITICAL COVERAGE
1800000046,MI,Kalamazoo,MI29698,MI26077-PSY,49050,Psychiatry,4,1,0.25,0.32,CRITICAL COVERAGE
1800000047,MI,Kalamazoo,MI29698,MI26077-PSY,49050,Psychiatry,4,1,0.25,0.32,CRITICAL COVERAGE
1800000048,MI,Kalamazoo,MI29698,MI26077-PUL,49050,Pulmonary,4,1,0.25,0.32,CRITICAL COVERAGE
1800000049,MI,Kalamazoo,MI29698,MI26077-PUL,49050,Pulmonary,4,1,0.25,0.32,CRITICAL COVERAGE
1800000050,MI,Kalamazoo,MI29698,MI26077-PUL,49050,Pulmonary,4,1,0.25,0.32,CRITICAL COVERAGE
1800000051,MI,Kalamazoo,MI29698,MI26077-PUL,49050,Pulmonary,4,1,0.25,0.32,CRITICAL COVERAGE
1800000052,MI,Kalamazoo,MI29698,MI26077-RHE,49050,Rheumatology,4,1,0.25,0.32,CRITICAL COVERAGE
1800000053,MI,Kalamazoo,MI29698,MI26077-RHE,49050,Rheumatology,4,1,0.25,0.32,CRITICAL COVERAGE
1800000054,MI,Kalamazoo,MI29698,MI26077-RHE,49050,Rheumatology,4,1,0.25,0.32,CRITICAL COVERAGE
1800000055,MI,Kalamazoo,MI29698,MI26077-RHE,49050,Rheumatology,4,1,0.25,0.32,CRITICAL COVERAGE
1800000056,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000057,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000058,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000059,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000060,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000061,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000062,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000063,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000064,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000065,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000066,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000067,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000068,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000069,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000070,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000071,MI,Macomb,MI29698,MI26099-CAR,48050,Cardiology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000072,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000073,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000074,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000075,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000076,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000077,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000078,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000079,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000080,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000081,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000082,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000083,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000084,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000085,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000086,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000087,MI,Macomb,MI29698,MI26099-END,48050,Endocrinology,16,1,0.0625,11.22,CRITICAL COVERAGE
1800000088,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000089,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000090,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000091,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000092,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000093,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000094,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000095,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000096,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000097,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000098,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000099,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000100,MI,Macomb,MI29698,MI26099-PSY,48050,Psychiatry,13,1,0.076923,8.65,CRITICAL COVERAGE
1800000101,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000102,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000103,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000104,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000105,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000106,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000107,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000108,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000109,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000110,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000111,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000112,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000113,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000114,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000115,MI,Macomb,MI29698,MI26099-PUL,48050,Pulmonary,15,1,0.066667,10.05,CRITICAL COVERAGE
1800000116,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000117,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000118,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000119,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000120,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000121,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000122,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
1800000123,MI,Macomb,MI29698,MI26099-RHE,48050,Rheumatology,14,1,0.071429,9.32,CRITICAL COVERAGE
